ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
503 ,1001 ,BWI-WHITE MARSH,-76.49,39.39,A+,2,Y,560 ,192 ,39377 ,41150 ,53867 ,40705 ,39026 ,53347 ,45083 ,47947 ,52249 ,42408 ,52586 ,68502 ,576247 
504 ,1002 ,BWI-BEL-AIR,-76.35,39.54,AA+,2,Y,560 ,204 ,61337 ,61046 ,79913 ,60386 ,57895 ,79141 ,66880 ,71129 ,77512 ,66058 ,81913 ,106705 ,869912 
505 ,1003 ,BWI-GLEN BURNIE,-76.63,39.16,B,2,Y,560 ,178 ,31531 ,31381 ,41080 ,31042 ,29761 ,42717 ,36099 ,38393 ,41838 ,33958 ,42108 ,54852 ,454760 
506 ,1004 ,DCA-BOWIE,-76.72,38.93,A,2,Y,560 ,162 ,39414 ,39227 ,51351 ,38803 ,37203 ,50855 ,42977 ,45707 ,52299 ,42448 ,52636 ,68567 ,561487 
507 ,1005 ,DCA-BURKE,-77.29,38.82,A,2,Y,560 ,129 ,37336 ,37158 ,48643 ,36757 ,35241 ,48173 ,42746 ,45461 ,49541 ,40210 ,49860 ,64951 ,536076 
508 ,1006 ,DCA-LARGO,-76.78,38.88,B,2,Y,560 ,157 ,36515 ,36341 ,47573 ,35948 ,34465 ,49469 ,41805 ,44461 ,48451 ,39325 ,48763 ,63522 ,526639 
509 ,1007 ,DCA-LUAREL,-76.8,39.1,B,2,Y,560 ,163 ,33363 ,33204 ,43466 ,34488 ,33065 ,45199 ,38197 ,40623 ,44269 ,35930 ,44554 ,58039 ,484396 
510 ,1008 ,DCA-WALDORF,-76.98,38.63,A,2,Y,560 ,158 ,35166 ,34999 ,45816 ,34621 ,33193 ,45373 ,40261 ,42819 ,46662 ,37873 ,46963 ,61177 ,504923 
511 ,1009 ,DCA-STERLING,-77.4,39.01,A,2,Y,560 ,137 ,39173 ,38987 ,51037 ,38566 ,36975 ,50544 ,44849 ,47698 ,51979 ,42188 ,52314 ,68148 ,562458 
512 ,1010 ,BUF-BOULEVARD MALL,-78.78,43.04,A+,1,Y,3804 ,354 ,47010 ,49126 ,64310 ,48595 ,46591 ,63688 ,53822 ,57241 ,62378 ,50629 ,62780 ,81781 ,687952 
